Sum of 8.71,Column Labels,,,,,,,,,,
Row Labels,DO,EC,GRV,MapLocation,ORP,PH,Sal,TDS,Temp,(blank),Grand Total
2017-04-01T21:27:47.050105,,,,,,,,,,,
2017-04-01T21:27:47.050118,,,,,,5.931,,,,,5.931
2017-04-01T21:27:47.050127,,2855,,,,,,,,,2855
2017-04-01T21:27:47.050135,,,,,,,,,31.1,,31.1
2017-04-01T21:27:47.050143,,,,,,,,1541,,,1541
2017-04-01T21:27:47.050151,,,,,,,1.47,,,,1.47
2017-04-01T21:27:47.050159,,,1.001,,,,,,,,1.001
2017-04-01T21:27:47.050167,,,,0,,,,,,,0
2017-04-01T21:27:58.669445,9.04,,,,,,,,,,9.04
2017-04-01T21:27:58.669481,,,,,,,,,,,
2017-04-01T21:27:58.669496,,,,,,5.927,,,,,5.927
2017-04-01T21:27:58.669507,,2850,,,,,,,,,2850
2017-04-01T21:27:58.669517,,,,,,,,,31.1,,31.1
2017-04-01T21:27:58.669525,,,,,,,,1539,,,1539
2017-04-01T21:27:58.669535,,,,,,,1.47,,,,1.47
2017-04-01T21:27:58.669543,,,1.001,,,,,,,,1.001
2017-04-01T21:27:58.669551,,,,0,,,,,,,0
2017-04-01T21:28:11.064366,8.97,,,,,,,,,,8.97
2017-04-01T21:28:11.064398,,,,,,,,,,,
2017-04-01T21:28:11.064412,,,,,,5.921,,,,,5.921
2017-04-01T21:28:11.064422,,2853,,,,,,,,,2853
2017-04-01T21:28:11.064430,,,,,,,,,31.1,,31.1
2017-04-01T21:28:11.064438,,,,,,,,1541,,,1541
2017-04-01T21:28:11.064446,,,,,,,1.47,,,,1.47
2017-04-01T21:28:11.064453,,,1.001,,,,,,,,1.001
2017-04-01T21:28:11.064461,,,,0,,,,,,,0
2017-04-01T21:28:22.972173,8.91,,,,,,,,,,8.91
2017-04-01T21:28:22.972202,,,,,,,,,,,
2017-04-01T21:28:22.972214,,,,,,5.923,,,,,5.923
2017-04-01T21:28:22.972223,,2855,,,,,,,,,2855
2017-04-01T21:28:22.972232,,,,,,,,,30.85,,30.85
2017-04-01T21:28:22.972245,,,,,,,,1541,,,1541
2017-04-01T21:28:22.972254,,,,,,,1.47,,,,1.47
2017-04-01T21:28:22.972262,,,1.001,,,,,,,,1.001
2017-04-01T21:28:22.972270,,,,0,,,,,,,0
2017-04-01T21:28:34.931662,8.89,,,,,,,,,,8.89
2017-04-01T21:28:34.931695,,,,,,,,,,,
2017-04-01T21:28:34.931708,,,,,,5.925,,,,,5.925
2017-04-01T21:28:34.931717,,2848,,,,,,,,,2848
2017-04-01T21:28:34.931725,,,,,,,,,31.1,,31.1
2017-04-01T21:28:34.931732,,,,,,,,1538,,,1538
2017-04-01T21:28:34.931740,,,,,,,1.47,,,,1.47
2017-04-01T21:28:34.931748,,,1.001,,,,,,,,1.001
2017-04-01T21:28:34.931756,,,,0,,,,,,,0
2017-04-01T21:28:46.878987,8.88,,,,,,,,,,8.88
2017-04-01T21:28:46.879016,,,,,,,,,,,
2017-04-01T21:28:46.879028,,,,,,5.921,,,,,5.921
2017-04-01T21:28:46.879037,,2854,,,,,,,,,2854
2017-04-01T21:28:46.879045,,,,,,,,,31.1,,31.1
2017-04-01T21:28:46.879053,,,,,,,,1541,,,1541
2017-04-01T21:28:46.879061,,,,,,,1.47,,,,1.47
2017-04-01T21:28:46.879068,,,1.001,,,,,,,,1.001
2017-04-01T21:28:46.879076,,,,0,,,,,,,0
2017-04-01T21:28:58.462265,8.85,,,,,,,,,,8.85
2017-04-01T21:28:58.462388,,,,,,,,,,,
2017-04-01T21:28:58.462407,,,,,,5.928,,,,,5.928
2017-04-01T21:28:58.462418,,2853,,,,,,,,,2853
2017-04-01T21:28:58.462427,,,,,,,,,31.1,,31.1
2017-04-01T21:28:58.462435,,,,,,,,1540,,,1540
2017-04-01T21:28:58.462463,,,,,,,1.47,,,,1.47
2017-04-01T21:28:58.462477,,,1.001,,,,,,,,1.001
2017-04-01T21:28:58.462486,,,,0,,,,,,,0
2017-04-01T21:29:10.795836,8.9,,,,,,,,,,8.9
2017-04-01T21:29:10.795868,,,,,,,,,,,
2017-04-01T21:29:10.795880,,,,,,5.927,,,,,5.927
2017-04-01T21:29:10.795889,,2853,,,,,,,,,2853
2017-04-01T21:29:10.795897,,,,,,,,,31.1,,31.1
2017-04-01T21:29:10.795905,,,,,,,,1540,,,1540
2017-04-01T21:29:10.795913,,,,,,,1.47,,,,1.47
2017-04-01T21:29:10.795920,,,1.001,,,,,,,,1.001
2017-04-01T21:29:10.795927,,,,0,,,,,,,0
2017-04-01T21:29:22.388319,8.89,,,,,,,,,,8.89
2017-04-01T21:29:22.388354,,,,,,,,,,,
2017-04-01T21:29:22.388369,,,,,,5.926,,,,,5.926
2017-04-01T21:29:22.388380,,2854,,,,,,,,,2854
2017-04-01T21:29:22.388390,,,,,,,,,31.1,,31.1
2017-04-01T21:29:22.388399,,,,,,,,1541,,,1541
2017-04-01T21:29:22.388408,,,,,,,1.47,,,,1.47
2017-04-01T21:29:22.388417,,,1.001,,,,,,,,1.001
2017-04-01T21:29:22.388425,,,,0,,,,,,,0
2017-04-01T21:29:34.291593,8.83,,,,,,,,,,8.83
2017-04-01T21:29:34.291630,,,,,,,,,,,
2017-04-01T21:29:34.291643,,,,,,5.924,,,,,5.924
2017-04-01T21:29:34.291652,,2855,,,,,,,,,2855
2017-04-01T21:29:34.291660,,,,,,,,,31.1,,31.1
2017-04-01T21:29:34.291667,,,,,,,,1541,,,1541
2017-04-01T21:29:34.291674,,,,,,,1.47,,,,1.47
2017-04-01T21:29:34.291680,,,1.001,,,,,,,,1.001
2017-04-01T21:29:34.291687,,,,0,,,,,,,0
2017-04-01T21:29:46.641705,8.85,,,,,,,,,,8.85
2017-04-01T21:29:46.641755,,,,,,,,,,,
2017-04-01T21:29:46.641772,,,,,,5.93,,,,,5.93
2017-04-01T21:29:46.641782,,2852,,,,,,,,,2852
2017-04-01T21:29:46.641790,,,,,,,,,31.1,,31.1
2017-04-01T21:29:46.641798,,,,,,,,1540,,,1540
2017-04-01T21:29:46.641806,,,,,,,1.47,,,,1.47
2017-04-01T21:29:46.641813,,,1.001,,,,,,,,1.001
2017-04-01T21:29:46.641821,,,,0,,,,,,,0
2017-04-01T21:29:58.241112,8.85,,,,,,,,,,8.85
2017-04-01T21:29:58.241145,,,,,,,,,,,
2017-04-01T21:29:58.241158,,,,,,5.929,,,,,5.929
2017-04-01T21:29:58.241168,,2854,,,,,,,,,2854
2017-04-01T21:29:58.241177,,,,,,,,,30.85,,30.85
2017-04-01T21:29:58.241184,,,,,,,,1541,,,1541
2017-04-01T21:29:58.241192,,,,,,,1.47,,,,1.47
2017-04-01T21:29:58.241201,,,1.001,,,,,,,,1.001
2017-04-01T21:29:58.241210,,,,0,,,,,,,0
2017-04-01T21:30:10.234256,8.89,,,,,,,,,,8.89
2017-04-01T21:30:10.234288,,,,,,,,,,,
2017-04-01T21:30:10.234299,,,,,,5.923,,,,,5.923
2017-04-01T21:30:10.234308,,2855,,,,,,,,,2855
2017-04-01T21:30:10.234316,,,,,,,,,31.1,,31.1
2017-04-01T21:30:10.234324,,,,,,,,1541,,,1541
2017-04-01T21:30:10.234331,,,,,,,1.47,,,,1.47
2017-04-01T21:30:10.234338,,,1.001,,,,,,,,1.001
2017-04-01T21:30:10.234345,,,,0,,,,,,,0
2017-04-01T21:30:22.303585,8.91,,,,,,,,,,8.91
2017-04-01T21:30:22.303612,,,,,,,,,,,
2017-04-01T21:30:22.303623,,,,,,5.932,,,,,5.932
2017-04-01T21:30:22.303632,,2854,,,,,,,,,2854
2017-04-01T21:30:22.303639,,,,,,,,,31.1,,31.1
2017-04-01T21:30:22.303646,,,,,,,,1541,,,1541
2017-04-01T21:30:22.303653,,,,,,,1.47,,,,1.47
2017-04-01T21:30:22.303659,,,1.001,,,,,,,,1.001
2017-04-01T21:30:22.303665,,,,0,,,,,,,0
2017-04-01T21:30:34.434629,8.95,,,,,,,,,,8.95
2017-04-01T21:30:34.434667,,,,,,,,,,,
2017-04-01T21:30:34.434683,,,,,,5.932,,,,,5.932
2017-04-01T21:30:34.434693,,2854,,,,,,,,,2854
2017-04-01T21:30:34.434707,,,,,,,,,31.1,,31.1
2017-04-01T21:30:34.434718,,,,,,,,1541,,,1541
2017-04-01T21:30:34.434729,,,,,,,1.47,,,,1.47
2017-04-01T21:30:34.434738,,,1.001,,,,,,,,1.001
2017-04-01T21:30:34.434749,,,,0,,,,,,,0
2017-04-01T21:30:46.812998,8.98,,,,,,,,,,8.98
2017-04-01T21:30:46.813038,,,,,,,,,,,
2017-04-01T21:30:46.813050,,,,,,5.926,,,,,5.926
2017-04-01T21:30:46.813058,,2854,,,,,,,,,2854
2017-04-01T21:30:46.813066,,,,,,,,,30.85,,30.85
2017-04-01T21:30:46.813074,,,,,,,,1541,,,1541
2017-04-01T21:30:46.813081,,,,,,,1.47,,,,1.47
2017-04-01T21:30:46.813088,,,1.001,,,,,,,,1.001
2017-04-01T21:30:46.813096,,,,0,,,,,,,0
2017-04-01T21:30:58.751438,8.97,,,,,,,,,,8.97
2017-04-01T21:30:58.751467,,,,,,,,,,,
2017-04-01T21:30:58.751479,,,,,,5.922,,,,,5.922
2017-04-01T21:30:58.751487,,2851,,,,,,,,,2851
2017-04-01T21:30:58.751496,,,,,,,,,30.85,,30.85
2017-04-01T21:30:58.751504,,,,,,,,1539,,,1539
2017-04-01T21:30:58.751514,,,,,,,1.47,,,,1.47
2017-04-01T21:30:58.751523,,,1.001,,,,,,,,1.001
2017-04-01T21:30:58.751531,,,,0,,,,,,,0
2017-04-01T21:31:10.755989,8.9,,,,,,,,,,8.9
2017-04-01T21:31:10.756020,,,,,,,,,,,
2017-04-01T21:31:10.756032,,,,,,5.921,,,,,5.921
2017-04-01T21:31:10.756042,,2855,,,,,,,,,2855
2017-04-01T21:31:10.756051,,,,,,,,,30.85,,30.85
2017-04-01T21:31:10.756059,,,,,,,,1541,,,1541
2017-04-01T21:31:10.756066,,,,,,,1.47,,,,1.47
2017-04-01T21:31:10.756074,,,1.001,,,,,,,,1.001
2017-04-01T21:31:10.756081,,,,0,,,,,,,0
2017-04-01T21:31:22.349560,8.92,,,,,,,,,,8.92
2017-04-01T21:31:22.349588,,,,,,,,,,,
2017-04-01T21:31:22.349599,,,,,,5.931,,,,,5.931
2017-04-01T21:31:22.349608,,2855,,,,,,,,,2855
2017-04-01T21:31:22.349615,,,,,,,,,31.1,,31.1
2017-04-01T21:31:22.349622,,,,,,,,1541,,,1541
2017-04-01T21:31:22.349629,,,,,,,1.47,,,,1.47
2017-04-01T21:31:22.349635,,,1.001,,,,,,,,1.001
2017-04-01T21:31:22.349641,,,,0,,,,,,,0
2017-04-01T21:31:34.750767,8.86,,,,,,,,,,8.86
2017-04-01T21:31:34.750798,,,,,,,,,,,
2017-04-01T21:31:34.750811,,,,,,5.924,,,,,5.924
2017-04-01T21:31:34.750821,,2848,,,,,,,,,2848
2017-04-01T21:31:34.750830,,,,,,,,,30.85,,30.85
2017-04-01T21:31:34.750839,,,,,,,,1538,,,1538
2017-04-01T21:31:34.750848,,,,,,,1.47,,,,1.47
2017-04-01T21:31:34.750857,,,1.001,,,,,,,,1.001
2017-04-01T21:31:34.750866,,,,0,,,,,,,0
2017-04-01T21:31:46.717979,8.85,,,,,,,,,,8.85
